Method,Grams,Ratio,temp,C40
Aeropress,12-16, 10 -  13,87-89,21-23
Aeropress,12-16, 13 -  15,86-88,22-24
Aeropress,12-16, 15 -  18,85-87,24-26
Aeropress,12-16, 18 -  21,84-86,26-28
Aeropress,16-21, 10 -  13,88-90,20-22
Aeropress,16-21, 13 -  15,87-89,22-24
Aeropress,16-21, 15 -  18,86-88,24-26
Aeropress,16-21, 18 -  21,85-87,26-28
Aeropress,21-26, 10 -  13,88-90,18-20
Aeropress,21-26, 13 -  15,87-89,20-22
Aeropress,21-26, 15 -  18,86-88,22-24
Aeropress,21-26, 18 -  21,85-87,24-26
Aeropress,26-31, 10 -  13,88-90,18-20
Aeropress,26-31, 13 -  15,87-89,20-22
Aeropress,26-31, 15 -  18,86-88,22-24
Aeropress,26-31, 18 -  21,85-87,24-26
Graycano,12-16, 10 -  13,92-94,24-26
Graycano,12-16, 13 -  15,91-93,26-28
Graycano,12-16, 15 -  18,90-92,28-30
Graycano,12-16, 18 -  21,89-91,30-32
Graycano,16-21, 10 -  13,92-94,22-24
Graycano,16-21, 13 -  15,91-93,24-26
Graycano,16-21, 15 -  18,90-92,26-28
Graycano,16-21, 18 -  21,89-91,28-30
Graycano,21-26, 10 -  13,93-94,20-22
Graycano,21-26, 13 -  15,92-94,22-24
Graycano,21-26, 15 -  18,91-93,24-26
Graycano,21-26, 18 -  21,90-92,26-28
Graycano,26-31, 10 -  13,93-94,20-22
Graycano,26-31, 13 -  15,92-94,22-24
Graycano,26-31, 15 -  18,91-93,24-26
Graycano,26-31, 18 -  21,90-92,26-28
UFO,12-16, 10 -  13,92-94,25-27
UFO,12-16, 13 -  15,91-93,27-29
UFO,12-16, 15 -  18,90-92,28-30
UFO,12-16, 18 -  21,89-91,30-32
UFO,16-21, 10 -  13,92-94,23-25
UFO,16-21, 13 -  15,91-93,25-27
UFO,16-21, 15 -  18,90-92,27-29
UFO,16-21, 18 -  21,89-91,29-31
UFO,21-26, 10 -  13,93-94,22-24
UFO,21-26, 13 -  15,92-94,24-26
UFO,21-26, 15 -  18,91-93,26-28
UFO,21-26, 18 -  21,90-92,28-30
UFO,26-31, 10 -  13,93-94,22-24
UFO,26-31, 13 -  15,92-94,24-26
UFO,26-31, 15 -  18,91-93,26-28
UFO,26-31, 18 -  21,90-92,28-30
Brewista Tornado,12-16, 10 -  13,92-94,23-25
Brewista Tornado,12-16, 13 -  15,91-93,25-27
Brewista Tornado,12-16, 15 -  18,90-92,27-29
Brewista Tornado,12-16, 18 -  21,89-91,29-31
Brewista Tornado,16-21, 10 -  13,92-94,21-23
Brewista Tornado,16-21, 13 -  15,91-93,23-25
Brewista Tornado,16-21, 15 -  18,90-92,25-27
Brewista Tornado,16-21, 18 -  21,89-91,27-29
Brewista Tornado,21-26, 10 -  13,93-94,20-22
Brewista Tornado,21-26, 13 -  15,92-94,22-24
Brewista Tornado,21-26, 15 -  18,91-93,24-26
Brewista Tornado,21-26, 18 -  21,90-92,26-28
Brewista Tornado,26-31, 10 -  13,93-94,20-22
Brewista Tornado,26-31, 13 -  15,92-94,22-24
Brewista Tornado,26-31, 15 -  18,91-93,24-26
Brewista Tornado,26-31, 18 -  21,90-92,26-28
Plinc,12-16, 10 -  13,90-92,24-26
Plinc,12-16, 13 -  15,89-91,26-28
Plinc,12-16, 15 -  18,88-90,28-30
Plinc,12-16, 18 -  21,87-89,30-32
Plinc,16-21, 10 -  13,90-92,22-24
Plinc,16-21, 13 -  15,89-91,24-26
Plinc,16-21, 15 -  18,88-90,26-28
Plinc,16-21, 18 -  21,87-89,28-30
Plinc,21-26, 10 -  13,91-93,20-22
Plinc,21-26, 13 -  15,90-92,22-24
Plinc,21-26, 15 -  18,89-91,24-26
Plinc,21-26, 18 -  21,88-90,26-28
Plinc,26-31, 10 -  13,91-93,20-22
Plinc,26-31, 13 -  15,90-92,22-24
Plinc,26-31, 15 -  18,89-91,24-26
Plinc,26-31, 18 -  21,88-90,26-28
